ID,regular,midtern1,midtern2,final
1,20,63,65,70
2,77,82,70,77
3,63,40,70,88
4,72,50,70,22
5,98,66,35,100
6,25,44,70,44
7,87,67,67,10
8,58,88,70,69
9,75,65,77,70
10,15,70,63,55
11,36,70,72,69
12,99,70,98,90
13,40,88,77,22
14,63,55,87,33
15,16,67,88,47
16,29,70,75,96
17,91,88,88,90
18,99,70,36,22
19,40,70,25,60
20,71,70,63,70
21,66,94,82,80
22,82,70,40,90
23,55,99,50,35
24,62,100,66,44
25,68,30,44,59
26,25,12,67,22
27,58,80,22,92
28,43,66,70,98
29,74,44,99,83
30,82,67,15,30
